"state","county","flyway","flock_type","species","subtype","date","flock_size"
"Iowa","Sac","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-04,42200
"Minnesota","Renville","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-06-04,415000
"Minnesota","Renville","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-04,24800
"Iowa","Hamilton","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-04,19600
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-03,37000
"Iowa","Hamilton","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-03,26200
"Iowa","Hamilton","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-03,17200
"Iowa","Clay","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-06-03,1115700
"Minnesota","Brown","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-03,15900
"Iowa","Calhoun","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-02,13400
"Minnesota","Blue Earth","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-02,19400
"Iowa","Wright","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-06-01,434800
"Minnesota","Renville","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-01,47800
"South Dakota","Moody","Central","Commercial","turkey","EA/AM-H5N2",2015-06-01,52000
"Minnesota","Brown","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-06-01,18300
"Minnesota","Renville","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-29,29300
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-29,4900
"Iowa","Hamilton","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-29,17000
"Minnesota","Brown","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-29,7300
"Iowa","Wright","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-28,991500
"Minnesota","Renville","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-28,48900
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-28,50800
"Minnesota","Renville","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-27,95300
"Minnesota","Brown","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-27,46800
"Iowa","Adair","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-27,974500
"Iowa","Pocahontas","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-26,20700
"Nebraska","Dixon","Central","Commercial","chicken","EA/AM-H5N2",2015-05-26,293200
"Iowa","Sac","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-21,1e+05
"Iowa","Calhoun","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-21,14400
"Iowa","Sioux","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-20,240000
"Iowa","Sac","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-19,28400
"Minnesota","Renville","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-19,2045600
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-19,42600
"Iowa","Sac","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-19,43400
"South Dakota","Moody","Central","Commercial","chicken","EA/AM-H5N2",2015-05-18,642700
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-18,138800
"Iowa","Sioux","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-15,272300
"Iowa","Sioux","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-15,240000
"Iowa","Plymouth","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-15,1e+05
"Nebraska","Dixon","Central","Commercial","chicken","EA/AM-H5N2",2015-05-15,1709400
"Iowa","Buena Vista","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-15,903700
"Iowa","Lyon","","Commercial","chicken","EA/AM-H5N2",2015-05-14,390000
"South Dakota","Yankton","Central","Commercial","turkey","EA/AM-H5N2",2015-05-13,70600
"South Dakota","Hutchinson","Central","Commercial","turkey","EA/AM-H5N2",2015-05-13,70600
"Iowa","Cherokee","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-13,46500
"Iowa","Buena Vista","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-13,26800
"Iowa","Wright","Mississippi","Commercial","chicken","EA/AM-H5N2",2015-05-12,966600
"Minnesota","Swift","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-12,37900
"Nebraska","Dixon","Central","Commercial","chicken","EA/AM-H5N2",2015-05-12,1791500
"Minnesota","Swift","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-11,65600
"Iowa","Sac","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-11,35200
"Iowa","Palo Alto","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-11,38400
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-11,22400
"Iowa","Cherokee","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-05-11,42000
